Artist,Album,Year
My Bloody Valentine,Loveless,1991
Ride,Nowhere,1990
Slowdive,Souvlaki,1993
Lush,Ciao! 1989-1996,2001
My Bloody Valentine,Isn't Anything,1988
Pale Saints,The Comforts of Madness,1990
The Swirlies,Blonder Tongue Audio Baton,1992
The Boo Radleys,Giant Steps,1993
Spiritualized,Lazer Guided Melodies,1991
Lush,Split,1994
Kitchens of Distinction,Love Is Hell,1989
Ride,OX4: The Best of Ride,2001
Lilys,Eccsame the Photon Band,1994
Chapterhouse,Whirlpool,1991
Lush,Gala,1990
Catherine Wheel,Ferment,1992
The Swirlies,What to Do About Them,1992
Loop,Heaven's End,1987
The Telescopes,The Telescopes,1992
The Verve,The Verve EP,1992
Catherine Wheel,Chrome,1993
The Boo Radleys,Learning to Walk,1992
Moose,...XYZ,1991
Curve,Doppelgänger,1992
Nightblooms,Nightblooms,1988
My Bloody Valentine,Tremolo,1991
Ride,Smile,1990
My Bloody Valentine,You Made Me Realise…,1988
The Verve,A Storm in Heaven,1993
Swervedriver,Raise,1991
Moose,Sonny & Sam [EP],1991
Pale Saints,In Ribbons,1992
My Bloody Valentine,Ecstasy and Wine,1989
Curve,Pubic Fruit,1992
Th' Faith Healers,Imaginary Friend,1993
My Bloody Valentine,Feed Me with Your Kiss [CD…,1988
Lilys,In the Presence of Nothing,1992
My Bloody Valentine,Glider,1990
Slowdive,Just for a Day,1991
Th' Faith Healers,Lido,1992
The Boo Radleys,Everything's Alright…,1992
The Swirlies,Brokedick Car,1993
The Telescopes,Taste,1989
The Verve,Urban Hymns,1997
Kitchens of Distinction,Capsule: The Best of KOD…,2003
The Verve,This Is Music: The Singles…,2004
Medicine,Shot Forth Self Living,1992
The Boo Radleys,Wake Up!,1995
Rollerskate Skinny,Shoulder Voices,1993
Electric Company,A Pert Cyclic Omen,1995
Kitchens of Distinction,The Death of Cool,1992
Swervedriver,Juggernaut Rides '89-'98,2005
Loop,A Gilded Eternity,1990
Secret Shine,Untouched,1993
Rollerskate Skinny,Horsedrawn Wishes,1996
No Joy,Wait to Pleasure,2013
Sianspheric,RGB,2006
Swervedriver,Mezcal Head,1993
Moose,Jack [EP],1991
The Boo Radleys,Find the Way Out,2005
Manitoba / Caribou,Up in Flames,2003
Caribou,Andorra,2007
Swervedriver,Ejector Seat Reservation,1995
Ride,Today Forever,1991
Ringo Deathstarr,Mauve,2012
Kitchens of Distinction,Now It's Time to Say…,1994
Pia Fraus,In Solarium,2002
The Swirlies,Strictly East Coast Sneaky…,1998
The Ancients,Night Bus,2013
Loop,The World in Your Eyes,1987
Young Prisms,In Between,2012
Readymade,On Point and Red,2001
Curve,Cuckoo,1993
Springhouse,Postcards from the Arctic,1993
The Ecstasy of Saint…,Free-D (Original…,1994
The Zephyrs,When the Sky Comes Down It…,2001
Ringo Deathstarr,Colour Trip,2011
Echo Lake,Wild Peace,2012
Lilys,Better Can't Make Your…,1996
Disappears,Pre Language,2012
Young Prisms,Friends for Now,2011
A Place to Bury Strangers,Exploding Head,2009
The Veldt,Afrodisiac,1994
Popsicle,Lacquer,1993
Spotlight Kid,Ten Thousand Hours,2015
My Bloody Valentine,m b v,2013
Should,Like a Fire Without Sound,2011
Ride,Leave Them All Behind,1992
Medicine,To the Happy Few,2013
Brace/Choir,Turning on Your Double,2014
Autodrone,Strike a Match,2013
Swervedriver,Last Train to Satansville…,1993
Should,Feed Like Fishes,1998
A Place to Bury Strangers,A Place to Bury Strangers,2007
Swervedriver,Son of Mustang Ford,1991
Tamaryn,Cranekiss,2015